a		Nc, Ng, Vit, I, E
mũi giùi		Nc, Ng
mũi nhọn		Nc, Ng
mũi tên		Nc, Ng
mũi tên hòn đạn		X
múi		Nc, Ng
múi cầu		Nc, Ng
múi chiếu bản đồ		Nc, Ng
múi giờ		Nc, Ng
mụi		Aa
mủm mỉm		Vit
mũm mĩm		Aa
múm mím		Vit
mun		Nc, Ng, Aa
mùn		Nc, Ng
mùn cưa		Nc, Ng
mủn		Ng, Aa
mụn		Nc, Ng
mung lung		Aa
mùng		Nc, Ng
mùng quân		Nc, Ng
mủng		Nc
muôi		Nc
muồi		Aa
muỗi		Nc, Ng
muối		Nc, Ng, Vt
muối acid		Nc, Ng
muối ăn		Nc, Ng
muối khoáng		Nc, Ng
muối mặt		Vit
muối mè		Nc, Ng
muối mỏ		Nc, Ng
muối tiêu		Nc, Ng
muối vừng		Nc, Ng
muội		Nc
muỗm		Nc, Ng
muôn		Nn
muôn dân		Ng
muôn đời		Na
muôn hình vạn trạng		X
muôn màu muôn vẻ		X
muôn một		Na
muôn muốt		Aa
muôn năm		Na
muôn ngàn		Nn
muôn nghìn		Nn
muôn tâu		Vt
muôn thuở		Na
muôn trùng		Na
muôn vàn		Nn
muốn		Vtim
muộn		Aa
muộn màng		Aa
muộn mằn		Aa
muông		Ng
muông thú		Ng
muồng		Nc
muỗng		Nc
muống		Nc
muốt		Aa
múp		Aa
múp míp		Aa
mút		Nc, Nl, Vt, Aa
mụt		Nc
mưa		Nc, Ng, Vit
mưa bay		Nc, Ng
mưa bóng mây		Nc, Ng
mưa bụi		Nc, Ng
mưa dầm		Nc, Ng
mưa đá		Nc, Ng
mưa gió		Nc, Ng
mưa lũ		Nc, Ng
mưa móc		Nc, Ng
mưa nắng		Nc, Ng
mưa ngâu		Nc, Ng
mưa phùn		Nc, Ng
mưa rào		Nc, Ng
mưa rươi		Nc, Ng
mưa tuyết		Nc, Ng
mửa		Vit
mửa mật		Vit
mứa		Aa
mựa		Ji
mức		Nc, Na
mức độ		Na
mức nước		Na
mức nước tuyệt đối		Na
mức sống		Na
mức thiếu hụt		Na
mực		Nc, Ng, Aa
mực tàu		Nc, Ng
mực thước		Na, Aa
mưng		Nc, Vit, Vt
mừng		Vt, Vim, Vtim
mừng công		Vit
mừng cuống		Vit
mừng húm		Vit
mừng hụt		Vit
mừng quýnh		Vit
mừng rỡ		Vitim, Aa
mừng rơn		Vitim
mừng thầm		Vitim
mừng tuổi		Vt
mửng		Na
mược		Vt
mươi		Nn
mươi lăm		Nn
mười		Nn
mười mươi		Aa
mướn		Vt
mượn		Vt
mượn gió bẻ măng		X
mượn mõ		Vit
mương		Nc, Ng
mương máng		Nc, Ng
mương phai		Nc
mường		Nu
mường tượng		Vt
mướp		Nc, Ng, Aa
mướp đắng		Nc, Ng
mướp hương		Nc, Ng
mướt		Vt, Aa
mướt mồ hôi		Aa
mượt		Aa
mượt mà		Aa
mưỡu		Nc, Ng
mứt		Nc, Ng
mưu		Na, Vt
mưu cầu		Vt
mưu chước		Na
mưu cơ		Na
mưu đồ		Na, Vt
mưu hại		Vt
mưu kế		Na
mưu lược		Na, Aa
mưu ma chước quỉ		Na
mưu ma chước quỷ		Na
mưu mẹo		Na, Aa
mưu mô		Na, Vt
mưu sách		Na
mưu sát		Vit
mưu sĩ		Nc, Ng
mưu sinh		Vit
mưu tính		Vt
mưu toan		Na, Vt
mưu trí		Na, Aa
mỹ		Aa
mỹ cảm		Na
mỹ dục		Na, Vit
mỹ đức		Na
mỹ học		Na
mỹ kí		Aa
mỹ kim		Nc, Ng
mỹ lệ		Aa
mỹ mãn		Aa
mỹ miều		Aa
mỹ nghệ		Na
mỹ nghệ phẩm		Nc, Ng
mỹ nhân		Nc, Ng
mỹ nhân kế		Na
mỹ nữ		Nc, Ng
mỹ phẩm		Nc, Ng
mỹ quan		Na
mỹ thuật		Na, Aa
mỹ thuật công nghiệp		Nc, Ng
mỹ tục		Na
mỹ tục thuần phong		Na
mỹ từ pháp		Na
mỹ vị		Na
mỹ viện		Nc, Ng
mỹ ý		Na
na		Nc, Vt
na mô		X
na mô A Di Đà Phật		X
na ná		Aa
na pan		Nc, Ng
na-tri		Nc, Ng
nà		Na, Jd, I
nả		Na
nã		Vt
ná		Nc, Ng
nạ		Na
nạ dòng		Nc, Ng
nác		Nc
nạc		Nc, Ng, Aa
nách		Nc, Ng, Vt
nai		Nc, Ng, Vt
nai lưng		Vt
nai nịt		Vit
nài		Nc, Vt
nài ép		Vt
nài nỉ		Vt
nài xin		Vt
nải		Nc, Nu
nái		Nc, Ng, Aa
nái sề		Nc, Ng
nại		Na, Vt
naira		Np
nakfa		Np
nam		Nc, Ng, Aa
nam ai		Nc, Ng
nam bán cầu		Nc, Ng
nam bằng		Nc, Ng
nam bình		Nc, Ng
nam cao		Nc, Ng
nam châm		Nc, Ng
Nam Cực		Np
nam cực quyền		Nc, Ng
nam giới		Nc, Ng
nam mô		X
nam nhi		Nc, Ng
nam nữ		Nc, Ng
nam phụ lão ấu		X
nam sài hồ		Nc, Ng
nam tính		Na
nam trầm		Nc, Ng
nam trung		Nc, Ng
nam tử		Nc, Ng
nam tước		Nc, Ng
nam vô		X
nám		Vt
nạm		Nc, Nu, Vt
nan		Nc, Ng
nan giải		Aa
nan hoa		Nc, Ng
nan y		Aa
nàn		Na
nản		Vitim
nản chí		Vitim
nản lòng		Vitim
nán		Vit
nạn		Na
nạn dân		Nc, Ng
nạn nhân		Nc, Ng
nang		Nc
nàng		Nc
nàng hầu		Nc, Ng
nàng thơ		Na
náng		Nc
nạng		Nc, Ng
nanh		Nc, Ng
nanh ác		Aa
nanh nọc		Aa
nanh sấu		Nc, Ng
nanh vuốt		Nc, Ng
nánh		Vt
nạnh		Na, Vt
nano-		X
nao		Na, Vt, Aa
nao núng		Vt
nao nức		Vitim
nào		Pi, Ja, Ji , I, E
nào hay		X
nào là		I
nào ngờ		X
não		Nc, Vt, Aa
não bạt		Nc, Ng
não nề		Aa
não nùng		Aa
não nuột		Aa
náo		Vit
náo động		Vit
náo loạn		Vit
náo nhiệt		Aa
náo nức		Vitim
nạo		Nc, Vt
nạo thai		Vit
nạo vét		Vt
náp cày		Nc, Ng
náp-ta-len		Np
nạp		Vt
napalm napan		Np
naphthalen		Np
naptalen		Np
nát		Vt, Aa
nát bàn		Nc, Ng
nát nước		Aa
nát óc		Vit
nát rượu		Aa
nạt		Vt
nạt nộ		Vt
natri		Np
natrium		Np
náu		Vt
nay		Pd
nay mai		Nl
này		Pp, I
này nọ		Pa
nảy		Vtb
nảy lửa		Aa
nảy nòi		Vt
nảy nở		Vitb
nảy sinh		Vtb
nãy		Pd
nãy giờ		Pd
nạy		Vt
nắc nẻ		Nc
nắc nỏm		Vit
nắc nỏm		Vt
nặc		Aa
nặc danh		Aa
nặc nô		Ng
năm		Nu
năm ánh sáng		Na
năm âm lịch		Na
năm ba		Nn
năm bảy		Nn
năm cha ba mẹ		X
năm châu bốn biển		X
năm cùng tháng tận		X
năm dương lịch		Na
năm học		Na
năm kia		Nl
năm mươi		Nn
năm ngoái		Nl
năm tháng		Na
năm thì mười hoạ		Jr
năm tuổi		Na
năm xung tháng hạn		X
nằm		Vit
nằm bẹp		Vit
nằm bếp		Vit
nằm gai nếm mật		Vit
nằm khàn		Vit
nằm khểnh		Vit
nằm khoèo		Vit
nằm mê		Vit
nằm mộng		Vit
nằm mơ		Vit
nằm vạ		Vit
nằm vùng		Vit
nằm xuống		Vit
nắm		Nu, Vt
nắm bắt		Vt
nắm đằng chuôi		Vit
năn		Nc
năn nỉ		Vt
nằn nì		Vt
nắn		Vt
nắn gân		Vt
nắn nót		Vt
nặn		Vt
nặn óc		Vit
năng		Jr
năng động		Aa
năng động tính		Na
năng khiếu		Na
năng lực		Na
năng lực sản xuất		Na
năng lượng		Na
năng nhặt chặt bị		X
năng nổ		Aa
năng suất		Na
nằng nặc		Jd
nắng		Nc, Ng, Aa
nắng mưa		Nc, Ng
nắng nôi		Nc, Ng
nắng quái		Nc, Ng
nắng ráo		Aa
nắng xiên khoai		Nc, Ng
nặng		Na, An
nặng căn		An
nặng è		An
nặng kí		Aa
nặng ký		An
nặng lãi		Na
nặng lời		Aa
nặng mùi		Aa
nặng nề		An
nặng nhọc		An
nặng nợ		Vit
nặng tai		Aa
nặng tình		Aa
nặng trịch		An
nặng trình trịch		An
nặng trĩu		An
nắp		Nc
nấc		Na
nấc		Na, Vit
nấc cụt		Vit
nầm		Nc
nấm		Nc, Nt
nấm hương		Nc, Ng
nấm men		Nc, Ng
nấm mèo		Nc, Ng
nấm mốc		Nc, Ng
nấm rơm		Nc, Ng
nậm		Nc
nần nẫn		Aa
nẫn		Aa
nấn ná		Vit
nâng		Vt
nâng cấp		Vt
nâng cốc		Vit
nâng đỡ		Vt
nâng giá		Vt
nâng giấc		Vit
nâng khăn sửa túi		Vit
nâng niu		Vt
nẫng		Vt
nậng		Vt
nấp		Vt
nấp bóng		Vt
nâu		Nc, Aa
nâu non		Aa
nâu sồng		Aa
nẫu		Aa
nẫu nà		Aa
nấu		Vt
nấu ăn		Vit
nấu bếp		Vit
nấu nung		Vt
nấu nướng		Vt
nấu sử sôi kinh		Vit
nấu sử xôi kinh		Vit
nậu		Nc
nây		Nc, Aa
nầy		Pd, Pa, I, E
nẩy		Vit
nẩy nở		Vit
nẫy		Pd
nấy		Pp
nậy		Vt, Aa
ne		Vt
Ne		Np
nè		I, E
nẻ		Vit
né		Ng, Vt
né tránh		Vt
nem		Nc, Ng
nem chạo		Nc, Ng
nem chua		Nc, Ng
nem công chả phượng		Nc, Ng
nem nép		Aa
nem rán		Nc, Ng
ném		Vt
ném đá giấu tay		X
ném đĩa		Nc, Ng
ném tạ		Nc, Ng
ném tiền qua cửa sổ		X
nén		Nt, Vt
nén lòng		Vt, Vim, Vtim
neo		Nc, Vt, Aa
neo đơn		Aa
nèo		Vt
nẻo		Ng
néo		Nc, Vt
neon		Np
nép		Vt
nẹp		Nc, Vt
nét		Nc, Ng, Aa
nẹt		Vt
neuron		Np
neutron		Np
newton		Np
nê		Na
nê-ông		Nc, Ng
nề		Na, Vit, Vt
nề hà		Vit
nề nếp		Na, Aa
nể		Vt
nể mặt		Vt
nể nả		Vt
nể nang		Vt
nể sợ		Vt, Vim, Vtim
nể trọng		Vt, Vim, Vtim
nể vì		Vt
nệ		Vt
nệ cổ		Vit
nêm		Nc, Vt
nêm		Nc, Vt
nếm		Vt
nếm trải		Vt
nệm		Nc, Ng
nên		Vtb, Cc
nên chi		Cc
nên cơm cháo gì		X
nên người		Vitb
nên thân		Aa
nên thơ		Aa
nền		Nc, Ng, Aa
nền móng		Nc, Ng
nền nã		Aa
nền nếp		Na, Aa
nền tảng		Na
nến		Nc, Ng
nến đánh lửa		Nc, Ng
nện		Vt
nêông		Np
nếp		Nc, Ng, Aa
nếp cái		Nc, Ng
nếp cẩm		Nc, Ng
nếp con		Nc, Ng
nếp tẻ		Nc, Ng
nết		Na
nết na		Aa
nêu		Nc, Vt
nếu		Cc
nếu mà		X
nếu như		Cc
ngà		Nc, Ng, Aa
ngà ngà		Aa
ngà ngọc		Nc, Ng
ngà voi		Nc, Ng
ngả		Na, Vt
ngả lưng		Vit
ngả nghiêng		Vit
ngả ngốn		Aa
ngả ngớn		Aa
ngả vạ		Vt
ngã		Na
ngã		Na, Vit
ngã bệnh		Vit
ngã đồng kềnh		Vit
ngã giá		Vit
ngã lòng		Vit
ngã ngũ		Vit
ngã ngửa		Vit
ngã nước		Na
ngạc		Na
ngạc nhiên		Vitim
ngách		Nc, Ng
ngạch		Na
ngạch bậc		Na
ngạch trật		Na
ngai		Nc, Ng
ngai ngái		Aa
ngai vàng		Nc, Ng
ngài		Nc, Ng, Pp
ngài ngại		Vitim
ngải		Na
ngải cứu		Nc, Ng
ngãi		Na
ngái		Nc, Aa
ngái ngủ		Vit
ngại		Vt, Vim, Vtim
ngại ngần		Vitim
ngại ngùng		Vitim
ngàm		Nc
ngan		Nc
ngan ngát		Aa
ngàn		Nn
ngàn cân treo sợi tóc		X
ngàn ngạt		Aa
ngàn thu		Na
ngàn trùng		Na
ngàn xưa		Na
ngán		Vt, Vim, Vtim
ngán ngẩm		Vitim
ngạn ngữ		Nc, Ng
ngang		Nl, Aa
ngang bướng		Aa
ngang cành bứa		Aa
ngang dạ		Aa
ngang dọc		Nl
ngang ngạnh		Aa
ngang ngửa		Aa
ngang ngược		Aa
ngang nhiên		Aa
ngang nối		Nc
ngang tai		Aa
ngang tàng		Aa
ngang trái		Aa
ngãng		Aa
ngáng		Nc, Vt
ngành		Nu
ngành nghề		Na
ngành ngọn		Na
ngảnh		Vt
ngạnh		Nc
ngao		Nc, Ng, Vit, Aa
ngao du		Vit
ngao ngán		Vt, Vim, Vtim, Aa
ngào		Vt
ngào ngạt		Aa
ngáo		Nc, Ng
ngáo ộp		Nc, Ng
ngạo		Vt
ngạo mạn		Aa
ngạo nghễ		Aa
ngạo ngược		Aa
ngáp		Vit
ngát		Aa
ngạt		Vt, Aa
ngạt mũi		Vit
ngạt ngào		Aa
ngáu		Aa
ngàu		Aa
ngay		Aa, Jd, I
ngay cán tàn		X
ngay lập tức		Jd
ngay lưng		Aa
ngay ngáy		Aa
ngay ngắn		Aa
ngay thẳng		Aa
ngay thật		Aa
ngay tình		Aa
ngay tức khắc		Jt
ngay tức thì		Ja
ngày		Na
ngày ba tháng tám		X
ngày càng		X
ngày công		Na
ngày đêm		Na
ngày đường		Na
ngày giờ		Na
ngày kia		Nl
ngày kìa		Nl
ngày lành tháng tốt		Np
ngày mai		Nl
ngày một		X
ngày một ngày hai		X
ngày mùa		Na
ngày nay		Nl
ngày ngày		Jr
ngày qua tháng lại		X
ngày rày		Nl
ngày rộng tháng dài		X
ngày sau		Nl
ngày sinh		Na
ngày tháng		Na
ngày thứ bảy cộng sản		Na
ngày tiết		Na
ngày trước		Nl
ngày xưa		Nl
ngày xửa ngày xưa		Nl
ngáy		Vit
ngắc		Vit
ngắc nga ngắc ngứ		Vit
ngắc ngoải		Vit
ngắc ngứ		Vit
ngăm		Vit, Aa
ngắm		Vt
ngắm nghía		Vt
ngắm vuốt		Vit
ngăn		Nc, Ng, Vt
ngăn cách		Vt
ngăn cản		Vt
ngăn cấm		Vt
ngăn chặn		Vt
ngăn kéo		Nc, Ng
ngăn nắp		Aa
ngăn ngắn		An
ngăn ngắt		Jd
ngăn ngừa		Vt
ngăn sông cấm chợ		X
ngăn trở		Vt
ngằn ngặt		Aa
ngắn		An
ngắn gọn		Aa
ngắn ngủi		An
ngắn ngủn		An
ngắn tun hủn		An
ngẳng		Aa
ngẳng nghiu		Aa
ngẵng		Aa
ngắt		Vt, Jd
ngắt điện		Nc
ngắt quãng		Vit
ngặt		Aa
ngặt nghèo		Aa
ngặt nghẽo		Aa
ngặt nghẹo		Aa
ngấc		Vt
ngâm		Vt
ngâm khúc		Nc, Ng
ngâm nga		Vit
ngâm ngẩm		Aa
ngâm ngợi		Vit
ngâm tôm		Vit
ngâm vịnh		Vit
ngầm		Nc, Aa
ngầm ngấm		Aa
ngẫm		Vt, Vim, Vtim
ngẫm nghĩ		Vt, Vim, Vtim
ngẫm ngợi		Vt, Vim, Vtim
ngấm		Vta
ngấm ngầm		Aa
ngấm ngoảy		Vit
ngấm nguẩy		Vit
ngấm nguýt		Vt
ngậm		Vt
ngậm bồ hòn		X
ngậm bồ hòn làm ngọt		X
ngậm cười chín suối		X
ngậm cười nơi chín suối		X
ngậm hột thị		X
ngậm máu phun người		X
ngậm miệng		Vit
ngậm ngùi		Vt, Vim, Vtim
ngậm nước		Aa
ngậm tăm		Vit
ngân		Na, Vit
ngân bản vị		Na
ngân hà		Nc, Ng
ngân hàng		Nc, Ng
ngân hàng dữ liệu		Nc, Ng
ngân khoản		Nc, Ng
ngân khố		Nc, Ng
ngân nga		Vit
ngân ngất		Aa
ngân phiếu		Nc, Ng
ngân quĩ		Nc, Ng
ngân quỹ		Nc, Ng
ngân sách		Na
ngần		Na
ngần ngại		Vitim
ngần ngừ		Vit
ngẩn		Aa
ngẩn ngơ		Aa
ngẩn tò te		Vit
ngấn		Nc, Vt
ngẩng		Vt
ngấp nga ngấp nghé		Vit
ngấp nghé		Vtc
ngấp ngó		Vit
ngập		Vit
ngập lụt		Vit
ngập mặn		Aa
ngập ngà ngập ngừng		Vit
ngập ngụa		Aa
ngập ngừng		Vit
ngập úng		Vit
ngất		Vit, Aa
ngất nga ngất nghểu		An
ngất nga ngất ngưởng		An
ngất ngây		Aa
ngất nghểu		An
ngất ngư		Aa
ngất ngưởng		An
ngất trời		An
ngất xỉu		Vit
ngật		Vit, Vt
ngật ngưỡng		Aa
ngâu		Na, Aa
ngầu		Aa
ngẫu hôn		Na
ngẫu hứng		Na
ngẫu lực		Na
ngẫu nhiên		Aa
ngấu		Aa
ngấu nghiến		Aa
ngậu		Aa
ngậu xị		Aa
ngây		Aa
ngây dại		Aa
ngây ngất		Aa
ngây ngô		Aa
ngây thơ		Aa
ngầy		Vt, Aa
ngầy ngà		Aa
ngấy		Na, Vt, Aa
ngấy sốt		Aa
ngậy		Aa
nghe		Vt, I
nghe chừng		Jd
nghe đâu		Jd
nghe hơi nồi chõ		Vit
nghe lỏm		Vt
nghe lóm		Vt
nghe ngóng		Vt
nghe nhìn		Na, Aa
nghe ra		Vit
nghè		Na
nghé		Nc, Ng, Vt
nghen		I
nghèn nghẹn		Vit
nghẽn		Vt
nghén		Na
nghẹn		Vit, Vt
nghẹn đòng		Vit
nghẹn ngào		Vit
nghèo		Aa
nghèo đói		Aa
nghèo hèn		Aa
nghèo khó		Aa
nghèo khổ		Aa
nghèo nàn		Aa
nghèo ngặt		Aa
nghèo rớt		Aa
nghèo rớt mùng tơi		Aa
nghèo túng		Aa
nghẻo		Vit
nghẽo		Nc
nghẹo		Nc, Vt
nghẹt		Vt, Aa
nghẹt thở		Aa
nghê		Na
nghê thường		Na
nghề		Na, Aa
nghề đời nó thế		X
nghề hạ bạc		Na
nghề nghiệp		Na
nghề ngỗng		Na
nghề tự do		Na
nghể		Nc
nghể răm		Nc
nghệ		Nc
nghệ nhân		Nc, Ng
nghệ sĩ		Nc, Ng
nghệ sĩ công huân		Nc, Ng
nghệ sĩ nhân dân		Nc, Ng
nghệ sĩ ưu tú		Nc, Ng
nghệ thuật		Na
nghệ thuật thứ bảy		Na
nghệ thuật vị nghệ thuật		X
nghệ thuật vị nhân sinh		X
nghếch		Vt
nghệch		Aa
nghển		Vt
nghênh		Vt
nghênh chiến		Vit
nghênh hôn		Vit
nghênh ngang		Aa
nghênh ngáo		Aa
nghênh tiếp		Vt
nghênh xuân		Vit
nghểnh		Vt
nghễnh ngãng		Aa
nghệt		Aa
nghêu		Nc, Ng
nghêu ngao		Vit
nghễu nghện		Aa, An
nghi		Vt, Vim, Vtim
nghi án		Na
nghi binh		Vit
nghi hoặc		Vit
nghi kị		Vt
nghi kỵ		Vit
nghi lễ		Na
nghi môn		Na
nghi ngại		Vitim
nghi ngờ		Vt, Vim, Vtim
nghi ngút		Aa
nghi thức		Na
nghi tiết		Na
nghi trang		Vt
nghi trượng		Na
nghi vấn		Na, Vit
nghi vệ		Na, Aa
nghì		Na
nghỉ		Na, Vit
nghỉ hè		Vit
nghỉ mát		Vit
nghỉ ngơi		Vit
nghỉ phép		Vit
nghỉ tay		Vit
nghỉ việc		Vit
nghĩ		Vt, Vim, Vtim
nghĩ bụng		Vt
nghĩ lại		Vit
nghĩ ngợi		Vitim
nghĩ suy		Vit
nghí ngoáy		Vit
nghị		Na
nghị án		Vit
nghị định		Na
nghị định thư		Na
nghị gật		Na
nghị hoà		Vit
nghị luận		Vt
nghị lực		Na
nghị quyết		Na
nghị sĩ		Nc, Ng
nghị trường		Nc, Ng
nghị viên		Nc, Ng
nghị viện		Nc, Ng
nghĩa		Na
nghĩa binh		Nc, Ng
nghĩa bóng		Na
nghĩa bộc		Na
nghĩa cử		Na
nghĩa dũng		Aa
nghĩa đen		Na
nghĩa địa		Nc, Ng
nghĩa hiệp		Aa
nghĩa khí		Na, Aa
nghĩa là		X
nghĩa lí		Na
nghĩa lý		Na
nghĩa quân		Nc, Ng
nghĩa sĩ		Nc, Ng
nghĩa thương		Na
nghĩa trang		Nc, Ng
nghĩa tử là nghĩa tận		X
nghĩa vụ		Na
nghĩa vụ quân sự		Na
nghịch		Vt
nghịch		Aa
nghịch biến		Aa
nghịch cảnh		Na
nghịch đảo		Na, Aa
nghịch đề		Na
nghịch lí		Na
nghịch lý		Na
nghịch ngợm		Aa
nghịch phách		Na
nghịch tặc		Na
nghiêm		Aa
nghiêm cách		Aa
nghiêm cấm		Vt
nghiêm cẩn		Aa
nghiêm chỉnh		Aa
nghiêm đường		Nc, Ng
nghiêm huấn		Nc, Ng
nghiêm khắc		Aa
nghiêm mật		Aa
nghiêm minh		Aa
nghiêm ngặt		Aa
nghiêm nghị		Aa
nghiêm nhặt		Aa
nghiêm phụ		Nc, Ng
nghiêm trang		Aa
nghiêm trị		Vt
nghiêm trọng		Aa
nghiêm túc		Aa
nghiễm nhiên		Aa, Jd
nghiệm		Na, Vit, Aa
nghiệm đúng		Vit
nghiệm số		Na
nghiệm thu		Vt
nghiên		Nc
nghiên cứu		Vt
nghiên cứu khả thi		Na, Vit
nghiên cứu sinh		Nc, Ng
nghiên cứu viên		Nc, Ng
nghiền		Vt
nghiền ngẫm		Vt
nghiến		Na, Vt, Aa
nghiến ngấu		Aa
nghiện		Vt
nghiện hút		Vit
nghiện ngập		Vt
nghiêng		Vit, Aa
nghiêng mình		Vit
nghiêng ngả		Vit
nghiêng nghé		Vt
nghiêng ngó		Vt
nghiêng ngửa		Aa
nghiệp		Na
nghiệp báo		Na
nghiệp chủ		Na
nghiệp chướng		Na
nghiệp dĩ		Aa
nghiệp dư		Aa
nghiệp đoàn		Nc, Ng
nghiệp vụ		Na
nghiệt		Aa
nghiệt ngã		Aa
nghỉm		Jd
nghìn		Nn
nghìn cân treo sợi tóc		X
nghìn nghịt		Aa
nghìn thu		Nn
nghìn trùng		Nn
nghìn xưa		Nn
nghịt		Aa
ngo ngoe		Vit
ngò		Nc, Ng
ngỏ		Vit
ngõ		Nc, Ng
ngõ cụt		Nc, Ng
ngõ hầu		Cc
ngõ hẻm		Nc, Ng
ngõ ngách		Nc, Ng
ngó		Nc, Ng, Vt
ngó ngàng		Vt
ngó ngoáy		Vit
ngọ		Na
ngọ ngoạy		Vit
ngọ nguậy		Vit
ngoa		Aa
ngoa dụ		Na
ngoa ngoắt		Aa
ngoa ngôn		Na
ngoã		Na
ngoác		Vt
ngoạc		Vt
ngoài		Nl, Cm
ngoài lề		X
ngoài mặt		X
ngoài miệng		X
ngoài ra		X
ngoài trời		X
ngoải		Pd
ngoái		Vt
ngoại		Nl
ngoại bang		Nl
ngoại cảm		Na
ngoại cảm		Na
ngoại cảnh		Nl
ngoại công		Na
ngoại cỡ		Na
ngoại diên		Na
ngoại đạo		Nl
ngoại động		Aa
ngoại giao		Na, Vit
ngoại giao đoàn		Nc, Ng
ngoại giao nhân dân		Na
ngoại giới		Na
ngoại hạng		Na
ngoại hình		Na
ngoại hoá		Na
ngoại hối		Na
ngoại hôn		Na
ngoại khoa		Na
ngoại khoá		Na
ngoại kiều		Nc, Ng
ngoại lai		Aa
ngoại lệ		Na
ngoại lực		Na
ngoại ngạch		Aa
ngoại ngữ		Na
ngoại nhập		Vit
ngoại ô		Nc, Ng
ngoại phạm		Vit
ngoại quốc		Nc, Ng
ngoại suy		Vit
ngoại tệ		Nc, Ng
ngoại tệ mạnh		Nc, Ng
ngoại thành		Nc, Ng
ngoại thất		Nc, Ng
ngoại thị		Na
ngoại thương		Na
ngoại tỉ		Na
ngoại tiếp		Aa
ngoại tiết		Aa
ngoại tình		Vit
ngoại tỉnh		Na
ngoại tộc		Na
ngoại trú		Vit
ngoại trừ		Vt
ngoại trưởng		Nc, Ng
ngoại tỷ		Na
ngoại văn		Na
ngoại vi		Na
ngoại viện		Na
ngoại xâm		Na
ngoạm		Na, Vt
ngoan		Aa
ngoan cố		Aa
ngoan cường		Aa
ngoan đạo		Aa
ngoan ngoãn		Aa
ngoạn cảnh		Vit
ngoạn mục		Aa
ngoảnh		Vt
ngoảnh đi ngoảnh lại		X
ngoao		Vit
ngoáo		Na
ngoáo ộp		Nc, Ng
ngoáp		Vit
ngoay ngoảy		Vit
ngoảy		Vt
ngoáy		Vt
ngoắc		Vt
ngoắc ngoải		Vit
ngoắc ngoặc		Vt
ngoặc		Nc, Ng, Vt
ngoặc		Nc, Ng, Vt
ngoặc đơn		Nc, Ng
ngoặc kép		Nc, Ng
ngoặc tay		Vit
ngoặc vuông		Nc, Ng
ngoằn ngoèo		Aa
ngoắt		Vt
ngoắt ngoéo		Aa
ngoặt		Vit
ngoặt ngoẹo		Aa
ngóc		Nc, Vt
ngóc ngách		Nc, Ng
ngọc		Nc, Ng
ngọc bích		Nc, Ng
ngọc hành		Nc, Ng
Ngọc Hoàng		Np
ngọc lan		Nc, Ng
ngọc lan tây		Nc, Ng
ngọc ngà		Nc, Ng
ngọc phả		Nc, Ng
ngọc thạch		Nc, Ng
ngọc thỏ		Nc, Ng
ngọc trai		Nc, Ng
ngoe		Na
ngoe ngoảy		Vt
ngoe nguẩy		Vt
ngoé		Nc
ngoen ngoẻn		Aa
ngoẻo		Vit
ngoéo		Vt
ngoéo tay		Vit
ngoẹo		Nc, Vt
ngoi		Vt
ngoi ngóp		Vit
ngòi		Nc, Ng
ngòi bút		Nc, Ng
ngói		Nc, Ng
ngói âm dương		Nc, Ng
ngói bò		Nc, Ng
ngói chiếu		Nc, Ng
ngói mấu		Nc, Ng
ngói móc		Nc, Ng
ngói ta		Nc, Ng
ngỏm		Vit
ngóm		Vit
ngon		Aa
ngon ăn		Aa
ngon giấc		Vit
ngon lành		Aa
ngon mắt		Aa
ngon miệng		Aa
ngon ngót		Aa
ngon ngọt		Aa
ngon ơ		Aa
ngon xơi		Aa
ngỏn ngoẻn		Aa
ngón		Nc, Ng
ngón cái		Nc, Ng
ngón nghề		Na
ngón tay trỏ		Nc, Ng
ngón út		Nc, Ng
ngọn		Nc, Ng
ngọn ngành		Na
ngọn nguồn		Na
ngòng ngoèo		Aa
ngỏng		Vt, An
ngõng		Nc
ngóng		Vt, Vim, Vtim
ngóng chờ		Vt, Vim, Vtim
ngóng đợi		Vt, Vim, Vtim
ngóng trông		Vt, Vim, Vtim
ngọng		Aa
ngọng nghịu		Aa
ngót		Aa
ngót dạ		Vit
ngót nghét		Aa
ngọt		Aa, Jd
ngọt bùi		Aa
ngọt lịm		Aa
ngọt lừ		Aa
ngọt lự		Aa
ngọt ngào		Aa
ngọt nhạt		Aa
ngọt xớt		Aa
ngô		Nc, Ng
ngô đồng		Nc
ngô đồng		Nc
ngô nghê		Aa
ngồ ngộ		Aa
ngổ		Aa
ngổ ngáo		Aa
ngỗ nghịch		Aa
ngỗ ngược		Aa
ngố		Aa
ngộ		Aa, Cc
ngộ biến		Vit
ngộ cảm		Vit
ngộ độc		Vt
ngộ gió		Vit
ngộ nạn		Vit
ngộ nghĩnh		Aa
ngộ nhận		Vit
ngộ nhỡ		Cc
ngộ sát		Vit
ngốc		Aa
ngốc nghếch		Aa
ngộc nghệch		Aa
ngôi		Nc, Ng
ngôi báu		Nc, Ng
ngôi sao		Nc, Ng
ngôi thứ		Na
ngôi vị		Na
ngồi		Vit
ngồi bệt		Vit
ngồi bó gối		Vit
ngồi chồm hổm		Vit
ngồi chưa ấm chỗ		X
ngồi chưa nóng chỗ		X
ngồi chưa nóng đít		X
ngồi dãi thẻ		Vit
ngồi dưng		Vit
ngồi đồng		Vit
ngồi không		Vit
